,0,1
878,altamente,NN
879,honroso,NN
880,sociedade,VBD
881,tempo,JJ
882,porquanto,NN
883,viam,NN
884,nela,JJ
885,feliz,NN
886,esposa,NN
887,alto,NN
888,espírito,NN
889,varão,NN
890,ilustre,NN
891,inveja,NN
892,santa,NN
893,nobre,JJ
894,inveja,NN
895,admiradores,NNS
896,Ao,NNP
897,cabo,VBD
898,sete,JJ
899,dias,NN
900,expiraram,NN
901,festas,NNS
902,públicas,VBP
903,Itaguaí,NNP
904,finalmente,NN
905,casa,NN
906,Orates,NNP
907,CAPÍTULO,NNP
908,II,NNP
909,TORRENTE,NNP
910,DE,NNP
911,LOUCOS,NNP
912,Três,NNP
913,dias,NN
914,expansão,NN
915,íntima,NNP
916,boticário,NN
917,Crispim,NNP
918,Soares,NNP
919,desvendou,VBZ
920,alienista,JJ
921,mistério,NN
922,coração,NN
923,caridade,NN
924,Sr,NNP
925,Soares,NNP
926,entra,VBZ
927,decerto,NN
928,procedimento,NN
929,entra,JJ
930,tempero,NN
931,sal,NN
932,coisas,NN
933,assim,NN
934,interpreto,NN
935,dito,NN
936,S,NNP
937,Paulo,NNP
938,Coríntios,NNP
939,Se,NNP
940,conhecer,NN
941,quanto,NN
942,pode,NN
943,saber,NN
944,caridade,VBD
945,nada,JJ
946,,NNP
947,.,.
948,principal,JJ
949,nesta,JJ
950,obra,NN
951,Casa,NNP
952,Verde,NNP
953,estudar,NN
954,profundamente,NN
955,loucura,NN
956,diversos,NN
957,graus,NN
958,classificar,NN
959,casos,NN
960,descobrir,NN
961,enfim,NN
962,causa,NN
963,fenômeno,NN
964,remédio,NN
965,universal,JJ
966,Este,NNP
967,mistério,NN
968,coração,NN
969,Creio,NNP
970,presto,NN
971,bom,NN
972,serviço,NN
973,humanidade,VBD
974,Um,NNP
975,excelente,FW
976,serviço,NN
977,corrigiu,NN
978,boticário,NN
979,Sem,NNP
980,asilo,VBZ
981,continuou,NN
982,alienista,NN
983,pouco,NN
984,poderia,NN
985,fazer,NN
986,dá,NN
987,porém,NN
988,maior,JJ
989,campo,NN
990,estudos,NN
991,Muito,NNP
992,maior,VBZ
993,acrescentou,FW
994,outro,JJ
995,razão,NN
996,De,NNP
997,todas,FW
998,vilas,NNS
999,arraiais,VBP
1000,vizinhos,JJ
1001,afluíam,NN
1002,loucos,NN
1003,Casa,NNP
1004,Verde,NNP
1005,Eram,NNP
1006,furiosos,NN
1007,mansos,NN
1008,monomaníacos,NN
1009,toda,NN
1010,família,JJ
1011,deserdados,NN
1012,espírito,NN
1013,Ao,NNP
1014,cabo,NN
1015,quatro,NN
1016,meses,VBZ
1017,Casa,NNP
1018,Verde,NNP
1019,povoação,NN
1020,Não,NNP
1021,bastaram,NN
1022,primeiros,NNS
1023,cubículos,VBP
1024,mandou,JJ
1025,anexar,NN
1026,galeria,NN
1027,trinta,NN
1028,sete,JJ
1029,Padre,NNP
1030,Lopes,NNP
1031,confessou,NN
1032,imaginara,NN
1033,existência,NN
1034,tantos,NN
1035,doidos,VBZ
1036,mundo,JJ
1037,menos,NNS
1038,ainda,VBP
1039,inexplicável,JJ
1040,alguns,NNS
1041,casos,VBP
1042,Um,NNP
1043,exemplo,FW
1044,rapaz,NN
1045,bronco,NN
1046,vilão,NN
1047,todos,NN
1048,dias,NN
1049,almoço,VBP
1050,fazia,JJ
1051,regularmente,NN
1052,discurso,NN
1053,acadêmico,NN
1054,ornado,NN
1055,tropos,NN
1056,antíteses,VBZ
1057,apóstrofes,JJ
1058,recamos,NNS
1059,grego,VBP
1060,latim,JJ
1061,borlas,NN
1062,Cícero,NNP
1063,Apuleio,NNP
1064,Tertuliano,NNP
1065,vigário,NN
1066,queria,NN
1067,acabar,NN
1068,crer,NN
1069,Quê,NNP
1070,rapaz,NN
1071,vira,NN
1072,três,NN
1073,meses,VBZ
1074,antes,VBZ
1075,jogando,JJ
1076,peteca,NN
1077,rua,NN
1078,Não,NNP
1079,digo,VBZ
1080,respondia,NN
1081,alienista,NN
1082,verdade,NN
1083,Vossa,NNP
1084,Reverendíssima,NNP
1085,vendo,NN
1086,Isto,NNP
1087,todos,NN
1088,dias,NN
1089,Quanto,NNP
1090,mim,NN
1091,tornou,NN
1092,vigário,NN
1093,pode,NN
1094,explicar,NN
1095,confusão,NN
1096,línguas,NN
1097,torre,NN
1098,Babel,NNP
1099,segundo,NN
1100,conta,NN
1101,Escritura,NNP
1102,provavelmente,NN
1103,confundidas,NN
1104,antigamente,NN
1105,línguas,NN
1106,fácil,NN
1107,trocá,NN
1108,las,NNS
1109,agora,VBP
1110,desde,JJ
1111,razão,NN
1112,trabalhe,NN
1113,Essa,NNP
1114,pode,NN
1115,ser,NN
1116,efeito,NN
1117,explicação,JJ
1118,divina,NN
1119,fenômeno,NN
1120,concordou,NN
1121,alienista,NN
1122,refletir,NN
1123,instante,NN
1124,impossível,NN
1125,alguma,NN
1126,razão,NN
1127,humana,NN
1128,puramente,NN
1129,científica,NN
1130,disso,NN
1131,trato,NN
1132,Vá,NNP
1133,fico,NN
1134,ansioso,NN
1135,Realmente,NNP
1136,Os,NNP
1137,loucos,VBZ
1138,amor,NN
1139,três,NN
1140,quatro,NN
1141,dois,NN
1142,espantavam,NN
1143,curioso,NN
1144,delírio,NN
1145,primeiro,NN
1146,Falcão,NNP
1147,rapaz,NN
1148,vinte,NN
1149,cinco,NN
1150,anos,NNS
1151,supunha,VBP
1152,estrela,JJ
1153,d,NN
1154,,NNP
1155,alva,NN
1156,abria,NN
1157,braços,NN
1158,alargava,NN
1159,pernas,NNS
1160,dar,VBP
1161,certa,JJ
1162,feição,JJ
1163,raios,NNS
1164,ficava,VBP
1165,assim,JJ
1166,horas,NNS
1167,esquecidas,VBP
1168,perguntar,NN
1169,sol,NN
1170,saído,NN
1171,recolher,NN
1172,outro,NN
1173,andava,NN
1174,sempre,NN
1175,sempre,NN
1176,sempre,NN
1177,roda,NN
1178,salas,NNS
1179,pátio,VBP
1180,longo,JJ
1181,corredores,NNS
1182,procura,VBP
1183,fim,JJ
1184,mundo,NN
1185,Era,NNP
1186,desgraçado,NN
1187,mulher,NN
1188,deixou,NN
1189,seguir,NN
1190,peralvilho,NN
1191,Mal,NNP
1192,descobrira,NN
1193,fuga,NN
1194,armou,NN
1195,garrucha,NN
1196,saiu,NN
1197,encalço,NN
1198,achou,NN
1199,duas,NN
1200,horas,NNS
1201,pé,VBP
1202,lagoa,JJ
1203,matou,NN
1204,ambos,NN
1205,maiores,VBZ
1206,requintes,VBZ
1207,crueldade,JJ
1208,ciúme,NN
1209,satisfez,NN
1210,vingado,NN
1211,louco,NN
1212,então,NN
1213,começou,NN
1214,ânsia,NNP
1215,ir,NN
1216,fim,NN
1217,mundo,NN
1218,cata,NN
1219,fugitivos,NN
1220,mania,NN
1221,grandezas,NN
1222,exemplares,VBZ
1223,notáveis,JJ
1224,notável,JJ
1225,pobre,NN
1226,diabo,NN
1227,filho,NN
1228,algibebe,NN
1229,narrava,JJ
1230,paredes,NNS
1231,porque,VBP
1232,olhava,JJ
1233,nunca,JJ
1234,nenhuma,NN
1235,pessoa,NN
1236,toda,NN
1237,genealogia,NN
1238,Deus,NNP
1239,engendrou,VBZ
1240,ovo,JJ
1241,ovo,JJ
1242,engendrou,NN
1243,espada,NN
1244,espada,NN
1245,engendrou,NN
1246,Davi,NNP
1247,Davi,NNP
1248,engendrou,NN
1249,púrpura,NN
1250,púrpura,NN
1251,engendrou,NN
1252,duque,NN
1253,duque,NN
1254,engendrou,NN
1255,marquês,NN
1256,marquês,NN
1257,engendrou,NN
1258,conde,NN
1259,Dava,NNP
1260,pancada,NN
1261,testa,NN
1262,estalo,NN
1263,dedos,NN
1264,repetia,NN
1265,cinco,NN
1266,seis,NN
1267,vezes,VBZ
1268,seguidas,JJ
1269,Deus,NNP
1270,engendrou,NN
1271,ovo,NN
1272,ovo,NN
1273,etc,FW
1274,Outro,NNP
1275,mesma,FW
1276,espécie,NN
1277,escrivão,FW
1278,vendia,FW
1279,mordomo,NN
1280,rei,NN
1281,outro,NN
1282,boiadeiro,NN
1283,Minas,NNP
1284,cuja,NN
1285,mania,NN
1286,distribuir,NN
1287,boiadas,NN
1288,toda,NN
1289,gente,NN
1290,dava,NN
1291,trezentas,NNS
1292,cabeças,VBP
1293,seiscentas,JJ
1294,outro,NN
1295,mil,NN
1296,duzentas,NNS
