,0,1
1468,Cosme,NNP
1469,cedendo,VBZ
1470,a,DT
1471,antigos,JJ
1472,rancores,NNS
1473,políticos,VBP
1474,,JJ
1475,Perdão,NNP
1476,doutor,NN
1477,não,NN
1478,estou,FW
1479,defendendo,NN
1480,ninguém,FW
1481,estou,FW
1482,citando,NN
1483,O,NNP
1484,que,NN
1485,eu,NN
1486,quero,NN
1487,é,NNP
1488,dizer,NN
1489,que,NN
1490,o,NN
1491,clero,NN
1492,ainda,NN
1493,tem,NN
1494,grande,VBD
1495,papel,JJ
1496,no,DT
1497,Brasil,NNP
1498,,NNP
1499,Você,NNP
1500,o,MD
1501,que,VB
1502,quer,NN
1503,é,NNP
1504,um,JJ
1505,capote,NN
1506,ande,NN
1507,vá,NN
1508,buscar,NN
1509,o,NN
1510,gamão,NN
1511,Quanto,NNP
1512,ao,NN
1513,pequeno,NN
1514,se,JJ
1515,tem,NN
1516,de,IN
1517,ser,FW
1518,padre,NN
1519,realmente,NN
1520,é,NNP
1521,melhor,NN
1522,que,NN
1523,não,JJ
1524,comece,VBZ
1525,a,DT
1526,dizer,NN
1527,missa,NN
1528,atrás,NN
1529,das,NN
1530,portas,NNS
1531,Mas,NNP
1532,olhe,VBP
1533,cá,NN
1534,mana,NN
1535,Glória,NNP
1536,há,NN
1537,mesmo,NN
1538,necessidade,FW
1539,de,FW
1540,fazê,FW
1541,lo,FW
1542,padre,FW
1543,,FW
1544,É,FW
1545,promessa,FW
1546,há,FW
1547,de,FW
1548,cumprir,FW
1549,se,FW
1550,,FW
1551,Sei,NNP
1552,que,NN
1553,você,NN
1554,fez,NN
1555,promessa,NN
1556,mas,NN
1557,uma,JJ
1558,promessa,NN
1559,assim,NN
1560,não,JJ
1561,sei,NN
1562,Creio,NNP
1563,que,NN
1564,bem,NN
1565,pensado,NN
1566,Você,NNP
1567,que,NN
1568,acha,NN
1569,prima,NN
1570,Justina,NNP
